station_1,13472765410,13547534122,success,1605087051055,0
station_1,13472765410,13547534122,busy,1605087061055,2
station_2,13472700000,13547500000,busy,1605087071055,9
station_1,13472710000,13547510000,success,1605087081055,10
station_3,13472720000,13547520000,failed,1605087091055,23
station_4,13472730000,13547530000,success,1605087101055,21
station_2,13472740000,13547540000,success,1605087111055,24
station_1,13472750000,13547550000,failed,1605087112055,29
station_2,13472760000,13547560000,success,1605087113055,50
station_2,13472770000,13547570000,failed,1605087114055,30
station_1,13472780000,13547580000,success,1605087115055,2
